New Folio No. and Face,Position in volume,Format,Language,Entry No.,Entry Part,Section - Type,Subject - Main,Subject - Additional,Printed,(Do not include),Document Notes,Editors' Notes,Condition - Conservation Survey
9 r - 9 r,,Parchment,Latin,58,,"chapter, cathedral; chapter, collegiate",Induction,of precentor,,,,,
9 v - 9 v,,Parchment,Latin,59,,"chapter, cathedral; chapter, collegiate",Collation,to precentorship,,,,,
9 v - 9 v,,Parchment,Latin,60,,"chapter, cathedral; chapter, collegiate",Induction,"to precentorship, mandate for",,,,,
9 v - 9 v,,Parchment,Latin,61,,"chapter, cathedral; chapter, collegiate",Collation,to archdeaconry of Elmet,,,,,
9 v - 9 v,,Parchment,Latin,62,,"chapter, cathedral; chapter, collegiate",Induction,"to archdeaconry of Elmet, mandate for",,,,,
9 v - 9 v,,Parchment,Latin,63,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
9 v - 9 v,,Parchment,Latin,64,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
9 v - 9 v,,Parchment,Latin,65,,"chapter, cathedral; chapter, collegiate",Induction,of prebendary,,,,,
9 v - 9 v,,Parchment,Latin,66,,"chapter, cathedral; chapter, collegiate",Collation,to Chancellorship,,,,,
9 v - 9 v,,Parchment,Latin,67,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
9 v - 9 v,,Parchment,Latin,68,a,"chapter, cathedral; chapter, collegiate",Obediences,of vicars,,,,,
9 v - 9 v,,Parchment,Latin,68,b,"chapter, cathedral; chapter, collegiate",Obediences,of vicars choral,,,,,
9 v - 9 v,,Parchment,Latin,69,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
10 r - 10 r,,Parchment,Latin,70,,"chapter, cathedral; chapter, collegiate",Induction,of canon and prebendary,,,,,
10 r - 10 r,,Parchment,Latin,71,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
10 r - 10 r,,Parchment,Latin,72,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
10 r - 10 r,,Parchment,Latin,73,,"chapter, cathedral; chapter, collegiate",Collation,"to canonry and prebend, following exchange, by biretta",,,,,
10 r - 10 r,,Parchment,Latin,74,,"chapter, cathedral; chapter, collegiate",Collation,"to canonry and prebend, following exchange",,,,,
10 r - 10 r,,Parchment,Latin,75,,"chapter, cathedral; chapter, collegiate",Vacated entry,"collation of canon and prebendary, following exchange",,,,,
10 r - 10 r,,Parchment,Latin,76,,"chapter, cathedral; chapter, collegiate",Vacated entry,"induction of canon and prebendary, mandate for",,,,,
10 r - 10 r,,Parchment,Latin,77,,"chapter, cathedral; chapter, collegiate",Vacated entry,collation of canon and prebendary,,,,,
10 r - 10 r,,Parchment,Latin,78,,"chapter, cathedral; chapter, collegiate",Collation,to canonry and prebend,,,,,
10 r - 10 r,,Parchment,Latin,79,,"chapter, cathedral; chapter, collegiate",Collation,to canonry and prebend,,,,,
10 r - 10 r,,Parchment,Latin,80,,"chapter, cathedral; chapter, collegiate",Induction,"of canon and prebendary, mandate for",,,,,
10 v - 10 v,,Parchment,Latin,81,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
10 v - 10 v,,Parchment,Latin,82,,"chapter, cathedral; chapter, collegiate",Taxation,"appointment of collectors, clerical poll tax, 1380, York Province",,,,,
10 v - 10 v,,Parchment,Latin,83,,"chapter, cathedral; chapter, collegiate",Visitation,warning of,,,,,
11 r - 11 r,,Parchment,Latin,84,,"chapter, cathedral; chapter, collegiate",Absence,"licence for, for three years",,,,,
11 r - 11 r,,Parchment,Latin,85,,"chapter, cathedral; chapter, collegiate",Petition,"from prior and brothers of the house of St Michael near Kyngston super Hull, Carthusians, rel to appropriation of parish church of Sculcotes on account of their poverty",,,,,
11 r - 11 r,,Parchment,Latin,86,,"chapter, cathedral; chapter, collegiate",Commissary,"commission to, to debate the appropriation of the church of Sculcotes to the Carthusian house of St Michael near Hull",,,,,
11 r - 11 r,,Parchment,Latin,87,,"chapter, cathedral; chapter, collegiate",Collation,to canonry and prebend,,,,,
11 v - 11 v,,Parchment,Latin,88,,"chapter, cathedral; chapter, collegiate",Probate,of testament,,,,,
11 v - 11 v,,Parchment,Latin,89,,"chapter, cathedral; chapter, collegiate",Testament,quittance/discharge to executor for faithful administration of goods,,Not found in Testamenta,,,
11 v - 11 v,,Parchment,Latin,90,,"chapter, cathedral; chapter, collegiate",Testament,,,Not found in Testamenta,,,
11 v - 11 v,,Parchment,Latin,91,,"chapter, cathedral; chapter, collegiate",Testament,,,Not found in Testamenta,,,
11 v - 11 v,,Parchment,Latin,92,,"chapter, cathedral; chapter, collegiate",Probate,of testament (entry no. 82),,,,,
11 v - 11 v,,Parchment,Latin,93,,"chapter, cathedral; chapter, collegiate",Collation,"to altar vicarage, by biretta",,,,,
11 v - 11 v,,Parchment,Latin,94,,"chapter, cathedral; chapter, collegiate",Induction,"of altar vicar, mandate for",,,,,
11 v - 11 v,,Parchment,Latin,95,,"chapter, cathedral; chapter, collegiate",Collation,"to altar vicarage, by biretta",,,,,
11 v - 11 v,,Parchment,Latin,96,,"chapter, cathedral; chapter, collegiate",Induction,"of altar vicar, mandate for",,,,,
12 A v - 12 A v,folio 12 A inserted between folio 11 and folio 12,Parchment,Latin,97,,"chapter, cathedral; chapter, collegiate",Taxation,"appointment of collectors, clerical half a tenth, 1382, York Province + a further half a clerical tenth, 1383?",,,,,
12 r - 12 r,,Parchment,Latin,98,,"chapter, cathedral; chapter, collegiate",Collation,"to altar vicarage, by biretta",,,,,
12 r - 12 r,,Parchment,Latin,99,,"chapter, cathedral; chapter, collegiate",Induction,"of altar vicar, mandate for",,,,,
12 r - 12 r,,Parchment,Latin,100,,"chapter, cathedral; chapter, collegiate",Collation,"to altar vicarage, by biretta",,,,,
12 r - 12 r,,Parchment,Latin,101,,"chapter, cathedral; chapter, collegiate",Induction,"of altar vicar, mandate for",,,,,
12 r - 12 r,,Parchment,Latin,102,,"chapter, cathedral; chapter, collegiate",Admission,of canon and prebendary,,,,,
12 r - 12 r,,Parchment,Latin,103,,"chapter, cathedral; chapter, collegiate",Collation,to canonry and prebend,,,,,
12 r - 12 r,,Parchment,Latin,104,,"chapter, cathedral; chapter, collegiate",Induction,"of canon and prebendary, mandate for",,,,,
12 r - 12 r,,Parchment,Latin,105,,"chapter, cathedral; chapter, collegiate",Admission,of dean,,,,,
12 r - 12 r,,Parchment,Latin,106,,"chapter, cathedral; chapter, collegiate",Induction,of canon and prebendary,,,,,
12 v - 12 v,,Parchment,Latin,107,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
12 v - 12 v,,Parchment,Latin,108,,"chapter, cathedral; chapter, collegiate",Induction,"of prebendary, mandate for",,,,,
12 v - 12 v,,Parchment,Latin,109,,"chapter, cathedral; chapter, collegiate",Induction,"of canon, with expectation of prebend?",,,,,
12 v - 12 v,,Parchment,Latin,110,,"chapter, cathedral; chapter, collegiate",Admission,of prebendary,,,,,
12 v - 12 v,,Parchment,Latin,111,,"chapter, cathedral; chapter, collegiate",Testament,of precentor,,Not found in Testamenta,Note at foot in a later hand 'verte ad fol. 34',,
13 r - 13 r,,Parchment,Latin,112,,"archdeaconry, York",Archbishop,consecration of,,,,,
13 r - 13 r,,Parchment,Latin,113,,"archdeaconry, York",Archbishop,"certification of consecration of, to Roman Curia",,,,,
13 v - 13 v,,Parchment,Latin,114,,"archdeaconry, York",Convocation,order to chapter to attend,,,,,
13 v - 13 v,,Parchment,Latin,115,,"archdeaconry, York",Convocation,order to archdeacon of York to call heads of religious houses within archdeaconry to,,,,,
13 v - 13 v,,Parchment,Latin,116,a,"archdeaconry, York",Convocation,order to archdeacon of Richmond to call heads of religious houses in archdeaconry to ,,,,,
13 v - 13 v,,Parchment,Latin,116,b,"archdeaconry, York",Convocation,order to archdeacon of Nottingham to call heads of religious houses in archdeaconry to,,,,,
13 v - 13 v,,Parchment,Latin,116,c,"archdeaconry, York",Convocation,order to archdeacon of East Riding to call heads of religious houses in archdeaconry to,,,,,
13 v - 13 v,,Parchment,Latin,117,,"archdeaconry, York",Convocation,order to provost of Beverley to attend meeting with his clergy to,,,,,
13 v - 13 v,,Parchment,Latin,118,a,"archdeaconry, York",Convocation,"Southwell chapter, order to attend",,,,,
13 v - 13 v,,Parchment,Latin,118,b,"archdeaconry, York",Convocation,"Ripon chapter, order to attand",,,,,
13 v - 13 v,,Parchment,Latin,118,c,"archdeaconry, York",Convocation,"Beverley chapter, order to attend",,,,,
13 v - 13 v,,Parchment,Latin,118,d,"archdeaconry, York",Convocation,"Howden and Howdenshire keeper of spiritualities, order to attend",,,,,
13 v - 13 v,,Parchment,Latin,118,e,"archdeaconry, York",Convocation,"Allerton and Allertonshire keeper of spiritualities, order to attend",,,,,
13 v - 13 v,,Parchment,Latin,119,,"archdeaconry, York",Convocation,"abbots and priors, order to attend",,,,,
13 v - 13 v,,Parchment,Latin,120,,"archdeaconry, York",Convocation,appointment of archbishop's proctor to attend,,,,,
13 v - 13 v,,Parchment,Latin,121,,"archdeaconry, York",Seal,"of office of Bishop's Official, order to hand over",,,,,
14 r - 14 r,,Parchment,Latin,122,,"archdeaconry, York",Convocation,appointment of archbishop's proctors to attend and discuss subsidy,,,,,Obscured text - folds
14 r - 14 r,,Parchment,Latin,123,,"archdeaconry, York",Proctor,"letter to papal legate at Bruges, rel to appointment of proctor at Convocation and request for pall",,,,,Obscured text - folds
14 r - 14 r,,Parchment,Latin,124,,"archdeaconry, York",Bishop's Official,appointment of,,,,,Obscured text - folds
14 r - 14 r,,Parchment,Latin,125,,"archdeaconry, York",Institution,of vicar,,,,,Obscured text - folds
14 r - 14 r,,Parchment,Latin,126,,"archdeaconry, York",Induction,of vicar,,,,,Obscured text - folds
14 r - 14 r,,Parchment,Latin,127,,"archdeaconry, York",Receiver,appointment of,,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,128,,"archdeaconry, York",Sequestration,,,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,129,,"archdeaconry, York",Cause,"ex officio, commission to understand and proceed in",,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,130,,"archdeaconry, York",Chastity,"vow of, commission to receive",,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,131,,"archdeaconry, York",Masses,"licence to celebrate, in (private) chapel, for two years",,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,132,,"archdeaconry, York",Letters dimissory,for all orders,,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,133,,"archdeaconry, York",Masses,"licence to celebrate, in (private) chapel",,,,,Obscured text - folds
14 v - 14 v,,Parchment,Latin,134,,"archdeaconry, York",Masses,"licence to celebrate, in (private) chapel",,,,,Obscured text - folds
15 r - 15 r,,Parchment,Latin,135,,"archdeaconry, York",Masses,"licence to celebrate, in (private) chapel, during pleasure",,,,,
15 r - 15 r,,Parchment,Latin,136,,"archdeaconry, York",Synod,commission to hold?,,,,,
15 r - 15 r,,Parchment,Latin,137,,"archdeaconry, York",Suffragan,commission to act as?,,,,,
15 r - 15 r,,Parchment,Latin,138,,"archdeaconry, York",Indulgence,"for guild/fraternity of St Anne in the crypt of St Paul, London",,,,,
15 r - 15 r,,Parchment,Latin,139,,"archdeaconry, York",Masses,"licence to celebrate, in (private) chapel, for three years",,,,,
15 r - 15 r,,Parchment,Latin,140,,"archdeaconry, York",Questor/governor?,hospital of Blessed Mary of Mount Syon/Zion?,,,,,
15 v - 15 v,,Parchment,Latin,141,,"archdeaconry, York",Thanks,"letter of, sent to Neville by?",,,,,
15 v - 15 v,,Parchment,Latin,142,,"archdeaconry, York",Thanks,"letter of, sent by Neville to pope, for promoting/advancing church of York",,,,,
15 v - 15 v,,Parchment,Latin,143,,"archdeaconry, York",Procuration/Stipend,"acquittance for, by papal nuncio",,,,,
15 v - 15 v,,Parchment,Latin,144,,"archdeaconry, York/?Nottingham",Absence/Non-residence,"licence for, for three years",,,,,
15 v - 15 v,,Parchment,Latin,145,,"archdeaconry, York/Gloucestershire",Recruitment,"to religious house?, licence for, numbers falling through plague",,,,,
15 v - 15 v,,Parchment,Latin,146,,"archdeaconry, York/Gloucestershire",Letters dimissory?,"to canons, for all orders not yet obtained",,,,,
16 r - 16 r,,Parchment,Latin,147,,"archdeaconry, York",Administration,commission for (goods of intestate),,,,,
16 r - 16 r,,Parchment,Latin,148,,"archdeaconry, York",Absence/Non-residence,"licence for, for two years",,,,,
16 r - 16 r,,Parchment,Latin,149,,"archdeaconry, York",Pension,"annual, grant of, of 10 marks, to cleric on the creation of the archbishop",,,,,
16 r - 16 r,,Parchment,Latin,150,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years",,,,,
16 r - 16 r,,Parchment,Latin,151,,"archdeaconry, York",Absence/Non-residence,"licence for, for two years",,,,,
16 r - 16 v,,Parchment,Latin,152,,"archdeaconry, York",Property,"of late archbishop (houses, manors, et), submission of executors , for corrections and repairs and 'fulcimentum' - support? (notarial instrument)",,,,,
16 v - 16 v,,Parchment,Latin,153,,"archdeaconry, York",Property,"of late archbishop, submission of executors, notarial subscription",,,,,
16 v - 16 v,,Parchment,Latin,154,,"archdeaconry, York",Study,"licence for absence to study, for two years, at a studium generale",,,,,
16 v - 16 v,,Parchment,Latin,155,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years",,,,,
16 v - 16 v,,Parchment,Latin,156,,"archdeaconry, York",Indulgence,?,,,,,
16 v - 16 v,,Parchment,Latin,157,,"archdeaconry, York",Clerks," committed before justices, commission to receive",,,,,
16 v - 16 v,,Parchment,Latin,158,,"archdeaconry, York",Collation,to chantry,,,,,
16 v - 16 v,,Parchment,Latin,159,,"archdeaconry, York",Induction,of chantry priest,,,,,
16 v - 17 r,,Parchment,Latin,160,,"archdeaconry, York",Absence,"licence for, for three years, in service of Edmund of Langley???",,,,,
17 r - 17 r,,Parchment,Latin,161,,"archdeaconry, York",Institution,of rector,,,,,
17 r - 17 r,,Parchment,Latin,162,,"archdeaconry, York",Induction,of rector,,,,,
17 r - 17 r,,Parchment,Latin,163,,"archdeaconry, York",Absence,"licence for, for one year",,,,,
17 r - 17 r,,Parchment,Latin,164,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
17 r - 17 r,,Parchment,Latin,165,,"archdeaconry, York",Institution,of provost,,,,,
17 r - 17 r,,Parchment,Latin,166,,"archdeaconry, York",Induction,of provost,,,,,
17 r - 17 r,,Parchment,Latin,167,,"archdeaconry, York",Surrender,of churches by abbot,,,,,
17 r - 17 r,,Parchment,Latin,168,,"archdeaconry, York",Absence,"licence for, for three years, in service of Sir William de Atoun/Acoun",,,,,
17 r - 17 r,,Parchment,Latin,169,,"archdeaconry, York",Vacated entry,,,,,,
17 r - 17 r,,Parchment,Latin,170,,"archdeaconry, York",Masses,"private, licence to celebrate, for living and dead, for three years",,,,,
17 r - 17 r,,Parchment,Latin,171,,"archdeaconry, York",Institution,of vicar,,,,,
17 r - 17 r,,Parchment,Latin,172,,"archdeaconry, York",Induction,of vicar,,,,,
17 r - 17 r,,Parchment,Latin,173,,"archdeaconry, York",Taxation,"appointment of collectors, one clerical tenth, 1374, York Province",,,,,
17 r - 17 r,,Parchment,Latin,174,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
17 v - 17 v,,Parchment,Latin,175,,"archdeaconry, York",Manor of Thorpe by York,"confirmation of Archbishop Walter de Grey of, to chapter of York",,,,,
17 v - 17 v,,Parchment,Latin,176,,"archdeaconry, York",Manor of Thorpe by York,surrender of chapter to Archbishop Alexander de Neville,,,,,
17 v - 17 v,,Parchment,Latin,177,,"archdeaconry, York",Manor of Thorpe by York,"bond of Archbishop Neville for farm of manor, for chapter??",,,,,
17 v - 17 v,,Parchment,Latin,178,,"archdeaconry, York",Institution,of vicar,,,,,
17 v - 17 v,,Parchment,Latin,179,,"archdeaconry, York",Induction,of vicar,,,,,
17 v - 17 v,,Parchment,Latin,180,,"archdeaconry, York",Indulgence,?,,,,,
17 v - 17 v,,Parchment,Latin,181,,"archdeaconry, York",Vacancy,aquittance to chapter for proceeds rel to,,,,,
17 v - 17 v,,Parchment,French,182,,"archdeaconry, York",Chastity,vow of (copy of document submitted/vow taken?),,,,,
18 r - 18 r,,Parchment,Latin,183,,"archdeaconry, York",Absence/Non-residence,"licence for, for three years, in service of lord de Roos",,,,,
18 r - 18 r,,Parchment,Latin,184,,"archdeaconry, York",Institution,of vicar,,,,,
18 r - 18 r,,Parchment,Latin,185,,"archdeaconry, York",Induction,of vicar,,,,,
18 r - 18 r,,Parchment,Latin,186,,"archdeaconry, York",Institution,of rector,,,,,
18 r - 18 r,,Parchment,Latin,187,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
18 r - 18 r,,Parchment,Latin,188,,"archdeaconry, York",Penance,"friar to do, for one year",,,,,
18 r - 18 r,,Parchment,Latin,189,,"archdeaconry, York",t. K.?,"licence for abbot to enclose, in houses annexed to parish church",,,,,
18 r - 18 r,,Parchment,Latin,190,,"archdeaconry, York",Institution,of vicar,,,,,
18 r - 18 r,,Parchment,Latin,191,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
18 r - 18 r,,Parchment,Latin,192,,"archdeaconry, York",Institution,of rector,,,,,
18 r - 18 r,,Parchment,Latin,193,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
18 r - 18 r,,Parchment,Latin,194,,"archdeaconry, York",Institution,of chantry chaplain,,,,,
18 r - 18 r,,Parchment,Latin,195,,"archdeaconry, York",Induction,"of chantry chaplain, mandate for",,,,,
18 r - 18 r,,Parchment,Latin,196,,"archdeaconry, York",Confessions,"licence to hear, of prioress and convent",,,,,
18 r - 18 r,,Parchment,Latin,197,,"archdeaconry, York",Institution,of vicar,,,,,
18 r - 18 r,,Parchment,Latin,198,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
18 v - 18 v,,Parchment,Latin,199,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
18 v - 18 v,,Parchment,Latin,200,,"archdeaconry, York",Absence,"licence for, for two years",,,,,
18 v - 18 v,,Parchment,Latin,201,,"archdeaconry, York",Absence,"licence for, until Michaelmas (29 September) next",,,,,
18 v - 18 v,,Parchment,Latin,202,,"archdeaconry, York",Repairs," to church, order to deliver estimates for???",,,,,
18 v - 18 v,,Parchment,Latin,203,,"archdeaconry, York",Synod,licence not to attend?,,,,,
18 v - 18 v,,Parchment,Latin,204,,"archdeaconry, York",Institution,of vicar,,,,,
18 v - 18 v,,Parchment,Latin,205,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
18 v - 18 v,,Parchment,Latin,206,,"archdeaconry, York",Study,"for three years, toleration of absence",,,,,
18 v - 18 v,,Parchment,Latin,207,,"archdeaconry, York",Institution,of vicar,,,,,
18 v - 18 v,,Parchment,Latin,208,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
18 v - 18 v,,Parchment,Latin,209,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
19 r - 19 r,,Parchment,Latin,210,,"archdeaconry, York",Institution,of rector,,,,,
19 r - 19 r,,Parchment,Latin,211,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
19 r - 19 r,,Parchment,Latin,212,,"archdeaconry, York",Absence,"licence for, for two years",,,,,
19 r - 19 r,,Parchment,Latin,213,,"archdeaconry, York",Absence,"licence for, for five years",,,,,
19 r - 19 r,,Parchment,Latin,214,,"archdeaconry, York",Institution,of rector,,,,,
19 r - 19 r,,Parchment,Latin,215,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
19 r - 19 r,,Parchment,Latin,216,,"archdeaconry, York",Absence,"licence for, for five years",,,,,
19 r - 19 r,,Parchment,Latin,217,,"archdeaconry, York",Institution,of rector,,,,,
19 r - 19 r,,Parchment,Latin,218,,"archdeaconry, York",Induction,"of rector, mandate for",,,,,
19 r - 19 r,,Parchment,Latin,219,,"archdeaconry, York",Institution,of rector (moiety),,,,,
19 r - 19 r,,Parchment,Latin,220,,"archdeaconry, York",Induction,"of rector (moiety), mandate for",,,,,
19 r - 19 r,,Parchment,Latin,221,,"archdeaconry, York",Institution,of vicar,,,,,
19 r - 19 r,,Parchment,Latin,222,,"archdeaconry, York",Induction,"of vicar, mandate for",,,,,
19 r - 19 r,,Parchment,Latin,223,,"archdeaconry, York",Absence,"licence for, for three years",,,,,
