Clennocke,,Maurice,,c 1525-? 1580,1556-1561,,Prebendary of Botevant,,Fasti; ODNB,Clenock; Clenocke; Morys Clynnog (ODNB),
Clerke,,Thomas,,0000-1541,1541-1541,,"Dean of Chester; Abbot of St Werburgh's Abbey, Chester, 1538-1540",,"Heads of Religious Houses, III",Clerk,Benedictine
Cleyburghe,,William,,0000-0000,1549-1554,,Prebendary of Ampleforth,,Fasti,,
Clifton,,William,,0000-1548,1529-1548,,Subdean of York,,Fasti,,
Clyff,Master,William,,0000-1558,1538-1547,,"Treasurer of York and Prebendary of Wilton; Precentor of York, 1534-1538",,Fasti; ODNB,Clyffe (ODNB),"Also Dean of Chester, 1547-1558"
Cocke,,James,,0000-1591,1585-1591,,Prebendary of Langtoft,,Fasti,,
Cole,,Thomas,,0000-? 1615,1582-1615,,Prebendary of Holme (Archiepiscopi),,Fasti,,Also Rector of Kirkby in Cleveland
Coltman,Master,John,,0000-1553,1546-1553,,Prebendary of Apesthorpe,,Fasti,,Dead by 1553
Colynson,,Robert,,0000-1553,1532-1536,,Prior of Haltemprice,,"Heads of Religious Houses, III",Collingeson; Collynson; Colson,Augustinian Canons
Constable,Master,William,,0000-? 1556,1532-1556,,Prebendary of Weighton,,Fasti,,"Year of death in Fasti unclear, but 1555, 1556 or 1558"
Cony,,William,,0000-0000,1524-c 1536,,Prior of Tickhill,,"Heads of Religious Houses, III",,"Benedictine, cell of Humberstone abbey, Lincs"
Coppinger,,Ambrose,,0000-1644,1619-1644,,Prebendary of Apesthorpe,,Fasti,,
Coppinger,,Henry,,0000-0000,1591-1619,,Prebendary of Apesthorpe,,Fasti,,
Coryett,,George,,0000-0000,1595-1601,,Prebendary of Warthill,,Fasti,,
Cosin,,John,,1595-1672,1625-1660,,Archdeacon of the East Riding,,Fasti; ODNB,Cousen (CP),"Also Bishop of Durham, 1660-1672"
Cottesford,Master,Thomas,,0000-0000,1553-1554,,Prebendary of Apesthorpe,,Fasti,,
Coulton,,Ralph,,0000-1582,1570-1582,,"Archdeacon of Cleveland; Prebendary of Home (Archiepiscopi), 1573-1582",,Fasti,,
Cowper,,Christabel,,0000-0000,c 1529-1539,,Prioress of Marrick,,"Heads of Religious Houses, III",,Benedictine
Crashawe,,William,,0000-? 1626,1617-1626,,Prebendary of Osbaldwick,,Fasti,,
Crawshawe,,John,,0000-0000,c 1537-1539,,Prior of Malton,,"Heads of Religious Houses, III",Crashawe,Gilbertine Canons
Crosthwaite,,James,,0000-1579,1573-1579,,Prebendary of Tockerington,,Fasti,,
Cundall,,Henry,,0000-1555,c 1533-1538,,Abbot of Roche,,"Heads of Religious Houses, III",Crundall,Cistercian
Dakyn,,John,,0000-1558,1551-1558,,Archdeacon of the East Riding,,Fasti,,"ck also Prebendary of Bilton, 1548-1550; Prebendary of Fenton, 1550-1558"
Danby,,Margaret,,0000-0000,1503-1536,,Prioress of Arden,,"Heads of Religious Houses, III",Margery,Benedictine
Dangarde,,John,,0000-1594,1561-1594,,Prebendary of Warthill,,Fasti,,
Darneton,,Thomas,,0000-0000,1519-1540,,Abbot of Egglestone,,"Heads of Religious Houses, III",,Premonstratensian Canons
Davell,,Robert,,0000-1559,1541-1558,,Prebendary of Holme (Archiepiscopi),,Fasti,,Presumably dead by 1558
Davell,,Henry,,0000-0000,1538-1539,,Abbot of Whitby,,"Heads of Religious Houses, III",,Benedictine
Davis,,William,,0000-0000,1642-? 0000,,Prebendary of Osbaldwick,,Fasti,,
Day,,William,,1529-1596,1560-1565,,"Archdeacon of Nottingham; Prebendary of Ampleforth, 1560-1566",,Fasti; ODNB; http://www.etoncollege.com/Provosts.aspx,,"Provost of Eton, 1561-1596; Dean of Windsor, 1572-1596; Bishop of Winchester, 1595-1596"
Denne,,John,,0000-c 1660,1617-0000,,Prebendary of Bilton,,Fasti,,
Downes,Master,Geoffrey,,0000-0000,1537-1561,,Chancellor of York,,Fasti,,
Drewry,,Richard,,0000-1561,1558-1561,,Prebendary of Barnby,,Fasti,,Dead by 1561
Duckett,,John,,0000-0000,1535- c 1539,,Master of Farne,,"Heads of Religious Houses, III",,"Benedictine, cell of Durham"
Dudley,,Robert,,0000-0000,1569-1581,,Prebendary of Wetwang,,Fasti,,
Duncombe,,John,,0000-0000,1576-1600,,Prebendary of Givendale,,Fasti,,
Dunkon,,Eleazar,,0000-1660,1640-1660,,Prebendary of Knaresborough,,Fasti,,"Mentioned in ODNB, in article rel to Thomas Morton"
Ebden,,John,,0000-0000,1552-1600,,Prebendary of Bugthorpe,,Fasti,,
Empson,,William,,0000-0000,c 1530-1536,,"Prior of Drax; vicar of Wressle, 1525-0000",,"Heads of Religious Houses, III",Emson,Augustinian Canons
Eveleigh,,James,,0000-? 1660,1602-? 0000,,Prebendary of Wetwang,,Fasti,,Dead by 1660
Everard,Master,Nicholas,,0000-1545,1539-1545,,Precentor of York,,Fasti,,
Eyer,,Giles,,0000-1551,1550-1551,,Prebendary of Husthwaite,,Fasti,,Dead by 1551
Eyer,Master,John,,0000-0000,1539-1543,,Prebendary of Barnby,,Fasti,,
Fairfax,,Henry,,0000-1665,1615-1665,,Prebendary of Fridaythorpe,,Fasti,,
Favour,,John,,c 1557-1624,1617-1624,,"Precentor of York; Prebendary of Osbaldwick, 1614-1617",,Fasti; ODNB,,
Ferrar,,Robert,,0000-1555,1538-1539,,"Bishop of St Davids, 1548-1555; Prior of Nostell, 1538-1539",,"Heads of Religious Houses, III",,Augustinian Canons
Forde,,Philip,,0000-0000,1605-? 0000,,Prebendary of Stillington,,Fasti,,Died sometime between Oct 1651 and Aug 1657
Foster,,Katherine,,0000-0000,1534-1536,,Prioress of Sinningthwaite,,"Heads of Religious Houses, III",Forster; Fostere,Cistercian
Franklin,,William,,1481-1556,1526-1556,,Prebendary of Stillington,,Fasti; ODNB,Franklyn (ODNB),"Also Dean of Windsor, 1536-0000; year of birth either 1480 or 1481"
Gibson,Sir,John,Knight,0000-1613,1574-1613,,"Precentor of York; Prebendary of Botevant, 1571-1572; Prebendary of North Newbald, 1572-1574",,Fasti,,Knighted 1603
Goldesburgh,,Anne,,0000-0000,1529-1534,,Prioress of Sinningthwaite,,"Heads of Religious Houses, III",Goldesbrough,Cistercian
Golding,,John,,0000-0000,1538-1538,,Prior of Ellerton on Spalding Moor,,"Heads of Religious Houses, III",Goldinge; Goldyng; Goldynge,Gilbertine Canons
Goldyng,Master,John,,0000-1556,1551-1556,,Prebendary of Givendale,,Fasti,,"Also Rector of Birkin, 0000-1556; Dead by 1556"
Goodwyn,,William,,0000-0000,1605-1611,,"Chancellor of York; Prebendary of Bole, 1590-1605",,Fasti,,
Green,,John,,0000-0000,1556-1588,,Prebendary of Dunnington,,Fasti,,
Green,,William,,0000-1640,1588-1640,,Prebendary of Dunnington,,Fasti,,Also Vicar of South Kirkby
Gregorie,,Christopher,,0000-1600,1598-1600,,"Archdeacon of York; Prebendary of Ampleforth, 1577-1600",,Fasti,Gregorye (CP),Also Rector of Kirby Misperton; possibly also Rector of Scrayingham
Grindal,,Edmund,,c 1516-1583,1570-1576,,Archbishop of York,,Fasti; ODNB,,"Also ; Archbishop of Canterbury, 1576-1582. ODNB gives date range for date of birth as 1516 x 1520."
Grosvenor,,Elizabeth,,0000-0000,c 1534-1540,,Prioress of Chester,,"Heads of Religious Houses, III",Gravenor; Grosvenour,Benedictine
Haldesworth,,Robert,,0000-1556,1541-1556,,Prebendary of Dunnington,,Fasti,,
Hall,,John,,0000-1558,1543-1558,,Prebendary of Barnby,,Fasti,,
Hall,,Joseph,,0000-0000,1611-1628,,Archdeacon of Nottingham,,Fasti,,"Fasti states Bishop of Exeter, 1627[-1641], but ODNB article for Joseph Hall, Bishop of Exeter, then Norwich, makes no mention of him as Archdeacon of Nottingham. CCEd database does give him as Archdeacon of Nottingham, but vacated that office on 7 Feb 1628."
Hall,,Elizabeth,,0000-0000,1532-1539,,Prioress of Arthington,,"Heads of Religious Houses, III",Halle; Haull,Cluniac
Harkay,,Joan,,0000-0000,c 1534-1536,,Prioress of Ellerton-in-Swaledale,,"Heads of Religious Houses, III",Harkey,Cistercian
Harrison,,Robert,,0000-1573,1566-1573,,Prebendary of Holme (Archiepiscopi),,Fasti,,Dead by 1573
Harsnet,,Samuel,,? 1561-1631,1629-1631,,Archbishop of York,,Fasti; ODNB,Harsnett (ODNB),Born Samuel Haselnoth
Hartley,,Ralph,,0000-0000,c 1537-1538,,Prior of Wetheral,,"Heads of Religious Houses, III",Harley; Harteley; Hertley,"Benedictine, cell of York, St Mary's"
Harware,,John,,0000-0000,? 1434-1538,,Abbot of Vale Royal,,"Heads of Religious Houses, III",Harwood; Harrower; Harwar; Harwarr; Harward; Haward,Cistercian
Harwood,,Richard,,0000-1615,1614-1615,,Prebendary of Bilton,,Fasti,,
Heath,,Nicholas,,? 1501-1578,1555-1559,,Archbishop of York,,Fasti; ODNB,,
Heneage,Master,George,,1483-1549,1536-1549,,Prebendary of Ampleforth,,Fasti; ODNB,,"Year of birth given in ODNB as 1482 or 1483; Canon of York, 1533-0000; dead by 1549"
Herde,,John,,0000-1588,1559-1588,,Prebendary of South Newbald,,Fasti,,
Herrington,,Richard,,0000-0000,c 1533-c 1539,,Master of Monkwearmouth,,"Heads of Religious Houses, III",Heryngton,"Benedictine, cell of Durham"
Hervie,,Henry,,0000-0000,1559-0000,,Prebendary of Warthill,,Fasti,,"Office vacated by June 1561; ck Harvey/Hervey, ODNB"
Hexham,,John,,0000-c 1557,1527-1538,,Abbot of Whitby,,"Heads of Religious Houses, III",Hixham; Topcliffe; Topclif,Benedictine
Hickes,,John,,0000-1630,1615-1630,,Prebendary of North Newbald,,Fasti,,
Higdon,,John,,0000-1532,1524-1529,,"Prebendary of Weighton; Prebendary of Wetwang, 1529-1532",,Fasti; ODNB,Hygdon (ODNB),
Hodson,,Phineas,,0000-1646,1611-1646,,Chancellor of York,,Fasti; ODNB,Hodgson (ODNB),Also Rector of Etton; mentioned as Hodgson in ODNB article on Luke Robinson
Holden,,Robert,,0000-0000,0000-1539,,Prior of Woodkirk,,"Heads of Religious Houses, III",,"Augustinian Canons, Nostell"
Holgate,,Robert,,1482-1555,1545-1554,,"Archbishop of York; Prior of Watton, c 1536-1539",,"Fasti; ODNB; Heads of Religious Houses, III",,ODNB gives year of birth as 1481/2
Holgill,Master,William,,0000-1548,1534-1548,,Prebendary of South Cave,,Fasti,,Dead by 1548
Holme,,William,,0000-0000,1526-1536,,Prior of Warter,,"Heads of Religious Houses, III",,Augustinian Canons
Hooke,,Henry,,0000-0000,1617-1624,,"Archdeacon of York; Precentor of York, 1624-1624",,Fasti,,
Horne,,Richard,,0000-0000,1552-1552,,Prebendary of Bugthorpe,,Fasti,,
Houghton,,Nicholas,,0000-1591,1561-1591,,Prebendary of Bilton,,Fasti,,
Houghton,Master,Thomas,,0000-1550,1541-1550,,Prebendary of Fenton,,Fasti,,Dead by 1550
Hutton,,Matthew,,? 1529-1606,1595-1606,,Archbishop of York,,Fasti; ODNB,,"Also Dean of York, 1567-1589; Prebendary of Osbaldwick, 1567-1589; Bishop of Durham, 1589-1595"
Hutton,,Samuel,,0000-1628,1603-1628,,Prebendary of Ulleskelf,,Fasti,,
Ireland,Master,Thomas,,0000-1558,1540-1558,,Prebendary of South Newbald,,Fasti,,Dead by 1558
Ireland,,Thomas,,0000-1614,1608-1614,,Prebendary of South Newbald,,Fasti,,
Jacke,,William,,0000-0000,1564-1568,,Prebendary of Husthwaite,,Fasti,,
Jenkynson,,Joan,,0000-0000,c 1536-1539,,Prioress of Esholt,,"Heads of Religious Houses, III",,Cistercian
Johnson,,Robert,,0000-0000,1556-? 0000,,Prebendary of Stillington,,Fasti,,"Perhaps ODNB, d. 1558, archbishop's commissary and receiver-general, Rector of Bolton Percy, 1558-1558; prebendary of Norwell Overhall, Southall minster, 1558-1558"
Jones,,Walter,,0000-? 1577,1564-1577,,Prebendary of Langtoft,,Fasti,,
Kay,,Thomas,,0000-1643,1626-1643,,Prebendary of Botevant,,Fasti,,
Kent,,Thomas,,0000-0000,c 1529-1538,,Minister/Prior of Knaresborough,,"Heads of Religious Houses, III",Kente; Kentt,Trinitarian
Kildwick,,John,,0000-1552,1518-1538,,Prior of Kirkham,,"Heads of Religious Houses, III",Kilwik; Kildwicke; Kylwek; Kylwycke; Kylwyke,Augustinian Canons
King,,John,,0000-1621,1590-1611,,Archdeacon of Nottingham,,Fasti; ODNB,,"Also Bishop of London, 1611-1621"
Knight,,Dorothy,,0000-0000,c 1538-1539,,Prioress of Swine,,"Heads of Religious Houses, III",,Cistercian
Knolles,,Thomas,,0000-1546,1529-1546,,Prebendary of Apesthorpe,,Fasti,,"ODNB has Thomas Knollys (Knolles), d. 1546, President of Magdalen College, Oxford, 1528-1536; Vicar of Wakefield, 1502-1546; Vicar of South Kirkby, 1536-1546"
Knolles,,William,,0000-? 1660,1626-? 0000,,Prebendary of Warthill,,Fasti,,Dead by 1660
Kylburne,,Elizabeth,,0000-0000,1534-1536,,Prioress of Nunburnholme,,"Heads of Religious Houses, III",Kalbourne; Kilbourne,Benedictine
Kyppes,,Joan,,0000-0000,0000-1539,,Prioress of Kirklees,,"Heads of Religious Houses, III",Keps; Kepax; Kepes; Kepasse; Kepast; Kypax; Kyppax,Cistercian
Lakin,,Thomas,,0000-1575,1564-1575,,Prebendary of Wistow,,Fasti,,
Langdale,,Alban,,0000-1580,1554-1559,,Prebendary of Ampleforth,,Fasti; ODNB,,
Langridge,,Richard,,0000-1547,1534-1547,,Archdeacon of Cleveland,,Fasti,,"Also Rector of Wheldrake, 0000-1547; dead by 1547"
Langton,,Anne,,0000-0000,1507-1539,,Prioress of Nun Appleton,,"Heads of Religious Houses, III",Lanketon,Cistercian
Lawrance,,James,,0000-0000,0000-0000,,"Prior of Watton; Prior of Ellerton on Spalding Moor, c 1534-1538",,"Heads of Religious Houses, III",Lowrance; Lorance,Gilbertine Canons
Laxe,,John,,0000-0000,c 1537-1539,,Prior of Snaith,,"Heads of Religious Houses, III",Yorke,"Benedictine, cell of Selby"
Layton,Master,Richard,,c 1498-1544,1539-1544,,"Dean of York; Prebendary of Ulleskelf, 1539-1544",,Fasti; ODNB,,
Layton,,William,,0000-1551,1544-1551,,Prebendary of Ulleskelf,,Fasti,,
Leake,,Richard,,0000-1645,1616-1645,,Prebendary of Grindal,,Fasti,,
Leanwodd,,William,,0000-0000,1538-1539,,Prior of Newburgh,,"Heads of Religious Houses, III",Lenewode; Lenewodd; Lenewoode; Levyngwoode,Augustinian Canons
Ledes,,John,,0000-0000,1525-1538,,Abbot of Byland,,"Heads of Religious Houses, III",Leedes; Ledys; Alanbridge; Alanbrigge; Alanebridge; Alanebrigge,Cistercian
Lee,,Edward,,1482-1544,1531-1544,,Archbishop of York,,Fasti; ODNB,,ODNB gives year of birth as 1481/2
Lepington,,John,,0000-0000,0000-1538,,"Prior of St Andrew, York",,"Heads of Religious Houses, III",Lepyngton; Lexyngton,Gilbertine Canons
Lindley,,Christopher,,0000-1610,1570-1610,,Prebendary of Husthwaite,,Fasti,,Also Rector of Dunnington
Lindley,,Daniel,,0000-0000,1619-1625,,Prebendary of Knaresborough,,Fasti,,
Lister,,William,,0000-0000,1615-1623,,Prebendary of Holme (Archiepiscopi),,Fasti,,
London,,John,,1486-1543,1519-1542,,Prebendary of Bilton,,Fasti; ODNB,,Year of birth given in ODNB as 1485/6
Lord,,Elizabeth,,0000-0000,1512-1539,,Prioress of Wilberfoss,,"Heads of Religious Houses, III",Lorde,Benedictine
Louth,,John,,0000-1590,1565-1590,,Archdeacon of Nottingham,,Fasti,,
Lowe,Master,Arthur,,0000-0000,1554-1563,,Prebendary of Fridaythorpe,,Fasti,,
Lutton,,Anne,,0000-1551,1532-1539,,Prioress of Handale,,"Heads of Religious Houses, III",,
Lyon,,Elizabeth,,0000-0000,1534-1536,,Prioress of Keldholme,,"Heads of Religious Houses, III",Lyyon,Cistercian
Magnus,Master,Thomas,,1464-1550,1504-1550,,Archdeacon of the East Riding,,Fasti; ODNB,,Year of birth given in ODNB as 1463/4
Maisters,,Richard,,0000-1588,1563-1588,,Prebendary of Fridaythorpe,,Fasti,,
Malton,,Christopher,,0000-0000,1564-1570,,Archdeacon of Cleveland,,Fasti,,
Marsar,Master,Thomas,,0000-1547,1541-1547,,Prebendary of Langtoft,,Fasti,,
Marsh,,Richard,,0000-1663,1641-1663,,Archdeacon of York,,Fasti,,"Possibly also Prebendary of Husthwaite, 1634-1663"
Marshall,,Cuthbert,,0000-1550,1528-1550,,"Archdeacon of Nottingham; Prebendary of Husthwaite, 1526-1550",,Fasti,,Dead by 1550
Marshall,,Mary,,0000-0000,1527-1536,,Prioress of Rosedale,,"Heads of Religious Houses, III",,Cistercian
Massey,,John,,0000-0000,1533-1535,,Abbot of Combermere,,"Heads of Religious Houses, III",Marcy; Massie; Massy,Cistercian
Matthew,,Tobias,,? 1544-1628,1606-1628,,Archbishop of York,,Fasti; ODNB,Tobie; Toby,"Also Bishop of Durham, 1595-1606"
Matthew,,John,,0000-0000,c 1535-c 1539,,Prior of Richmond,,"Heads of Religious Houses, III",Mather,"Benedictine, cell of York, St Mary's"
Maude,,Timothy,,0000-1625,1623-1625,,Prebendary of Holme (Archiepiscopi),,Fasti,,
Maulevorey,,Ralph,,0000-1551,c 1523-1539,,Prior of Kingston-upon-Hull,,"Heads of Religious Houses, III",Malevorey; Malevourie: Malyvere; Malyverer,Carthusian
May,,John,,0000-1598,1569-1588,,Archdeacon of the East Riding,,Fasti; ODNB,,"Fasti says Archdeacon until 1589, ODNB 1588; also Bishop of Carlisle, 1577-1598; possibly also Rector of half the rectory of Darfield"
May,,William,,c 1505-1560,1560-1560,,Archbishop of York,,Fasti; ODNB,,"Conge d'elire, 25 July 1560; elected 13 August, but had died 8 August (Fasti)"
Meriton,,George,,0000-1624,1617-1624,,"Dean of York; Prebendary of Tockerington, 1617-1624",,Fasti; CCEd,,
Mone,,Richard,,0000-1541,1513-1539,,Prior of Bolton,,"Heads of Religious Houses, III",Moon; Moone; Mowne; Moyne,Augustinian Canons
Monteigne,,George,,1569-1628,1628-1628,,Archbishop of York,,Fasti; ODNB,Montaigne; Mountain (ODNB),"Also Bishop of Durham, 1628-1628"
Mooke,Master,William,,0000-1545,1531-1545,,Prebendary of Tockerington,,Fasti,,
More,,Henry,,0000-1590,1563-1590,,Prebendary of Bole,,Fasti,,
Morley,,Geoffrey,,0000-0000,1554-1567,,Prebendary of Strensall,,Fasti,,
Morton,,Thomas,,? 1564-1659,1610-1632,,Prebendary of Husthwaite,,Fasti; ODNB,,"Also Bishop of Chester, 1616-1619; Bishop of Durham, 1632-1641"
Mowse,,William,,0000-1588,1561-1570,,Prebendary of Botevant,,Fasti; ODNB,Mouse (ODNB),
Nalton,,Francis,,0000-c 1616,1596-1616,,Prebendary of Grindal,,Fasti,,Also Vicar of Hunmanby
Neale,,John,,0000-1675,1638-1675,,"Archdeacon of Cleveland; Prebendary of North Newbald, 1634-1660; Prebendary of Strensall, 1660-",,Fasti,,
Neale,,Richard,,1562-1640,1632-1640,,Archbishop of York,,Fasti; ODNB,Neile (ODNB),"Also Bishop of Durham, 1617-1627"
