Belliard,,Roger,,d 1611,1578-1611,,Vicar of Egmanton,,CCEd Person ID: 113964,Beliald,,
Bellwood,,John,,d ? 1633,1631-1633,,Rector of Dalby,,CCEd Person ID: 113991,Belwood,"Schoolmaster, York Free School, 1617-1632",
Bellwood,,Roger,,d ? 1646,1604-1644,,Rector of York St Crux,,CCEd Person ID: 113993,Belwood,"Rector of Crathorne, 1624-? 1644",
Bellwood,,Thomas,,d 1623,1605-1623,,Perpetual Vicar of Bilton,,CCEd Person ID: 113994,Belwood,,
Belt,,Brian,,d ? 1588,1577,,? Parishioner of Escomb,,"Register 31, fol. 33 v",Belte,"Presumably the Brian Belte, gentleman of Escomb, whose will was made and proved in 1588 (or perhaps the Brian Belte, gentleman of Escomb whose will was made in 1616 and proved in 1617, but perhaps more likely the former) (North East Inheritance database)",
Bennett,,William,,d 1632,1625-1632,,Rector of Shelton,,CCEd Person ID: 114023,,,
Bennett,,William,,fl 1554-c 1585,1554-c 1585,,Rector of Aycliffe,,CCED Person ID: 114028,Bennet,"Vicar of Kelloe, 1577",
Bentley,,George,,d 1600,1599-1600,,Rector of Crofton,,CCEd Person ID: 114072,,,
Benyon,,Thomas,,fl 1577,1577,,Vicar of Embledon,,CCEd Person ID: 114136,Benyan,,
Berridge,,Edith,,d ? 1639,,,"Widow, of Byram",,,,Will dated 1639,
Berringer,,William,,d 1634,1629-1634,,Rector of Goodmanham,,CCEd Person ID: 114137,,,
Bertram,,James,,fl 1577,1577,,Churchwarden of Newcastle St John,,"Register 31, fol. 29 r",Bartram,,
Besakyll,,John,,d 1586,1561-1586,,Rector of Goxhill,,CCEd Person ID: 114141,Besacle,"Perpetual Vicar of Mappleton, 1555-1563",
Bew,,William,,d ? 1613,,,Prebendary of Ripon,,CCEd Person ID: 114152,Bewe,,
Bewick,,Edward,,fl 1577,1577,,Churchwarden of Newcastle All Saints,,"Register 31, fol. 29 r",Bewicke,,
Bews,,Anthony,,d ? 1642,1623-c 1642,,Rector of High Hoyland,,CCEd Person ID: 114154,,,
Bigott,,John,,fl 1577,1577,,Churchwarden of Coniscliffe,,"Register 31, fol. 33 r",Bygod,,
Bilcliffe,,Edward,,d ? 1619,1596-1619,,Vicar of Burstwick,,CCEd Person ID: 61655,,"Burstwick chapelry of Skeckling parish; Curate of Hackness with Harwood Dale, 1592",
Billoppe,,Ralph,,fl 1577,1577,,? Parishioner of Hamsterley,,"Register 31, fol. 33 v",,,
Binks,,William,,d 1586,1558-c 1586,,Vicar of Felixkirk,,CCEd Person ID: 115327,Binkes,,
Birkhead,,Thomas,,d ? 1599,1575-1598,,Rector of Gamston,,CCEd Person ID: 114238,,"Rector of Hutton Cranswick, 1571; Vicar of Hutton Cranswick, 1571-1576",
Birks,,Ellis,,d ? 1625,1594-1625,,Rector of Goxhill,,CCEd Person ID: 61659,,"Curate of Sigglesthorne, 1592",
Birtfield,,Thomas,,fl 1577,1577,,Parishioner of Gateshead,,"Register 31, fol. 30 r",Birtfeld,Perhaps the Thomas Burfeild whose probate bond was dated 1587 (North East Inheritance database),
Blackbeard,,George,,fl 1577,1577,,Churchwarden of Stannington,,"Register 31, fol. 30 v",Blackbearde,,
Blackburn,,Thomas,,d ? 1614,,,,,Register 31,Blackburne,,
Blackett,,Richard,,d ? 1588,1577,,Churchwarden of Witton le Wear,,"Register 31, fol. 33 v",Blacket,"Presumably the Rychard Blackett of the Hole House, Witton le Wear, probate dated 1588 (North East Inheritance database)",
Blacklock,,John,,fl 1577,1577,,Parishioner of Darlington,,"Register 31, fol. 33 r",Blacklocke,,
Blackmantle,,John,,d ? 1597,1577,,? Parishioner of Bishopton,,"Register 31, fol. 32 v",Blackmantell,"Perhaps the John Blackmantle, yeoman, of Bishopton, whose will was made and proved in 1597 (North East Inheritance database)",
Blake,,John,,d ? 1623,1619-1623,,Rector of Slaidburn,,CCEd Person ID: 114384,,,
Bland,,William,,d ? 1639,,,of Stillington,,Register 32,,,
Blaxton,,Thomas,,d ? 1591,1577-c 1591,,Rector of Dinsdale,,CCEd Person ID: 114406,,Will made and proved in 1586 (North East Inheritance database),
Blaxton,,Robert,,fl 1577,1577,,Rector of Elton,,CCEd Person ID: 118885,,,
Blaxton,,Thomas,,fl 1577,1577,,Churchwarden of Stockton upon Tees,,"Register 31, fol. 32 v",,,
Blenkinsop,,Thomas,,fl 1577,1577,,Curate of Norton,,CCEd Person ID: 114413,Blenkinsoppe,,
Blenkinsop,,William,,fl 1577,c 1577-1580,,"Minor Canon, Durham Cathedral",,CCEd Person ID: 149886,Blenkynsoppe,,
Blenkinsop,,Thomas,,fl 1577,1577,,Churchwarden of Whickham,,"Register 31, fol. 30 r",,,
Blenkinsop,,Thomas,,fl 1577,1577,,Churchwarden of Whickham,,"Register 31, fol. 30 v",Blenkinsoppe,,
Blunt,,Edward,,fl 1577,1577,,Churchwarden of Newcastle St John,,"Register 31, fol. 29 r",Blunte,,
Blythman,,William,,fl 1577,1577,,Churchwarden of Gateshead,,"Register 31, fol. 30 r",Blithman,,
Boake,,James,,d ? 1636,,,of Waplington,,Register 32,,,
Bolam,,Robert,,fl 1577,1577,,? Churchwarden of Chatton,,"Register 31, fol. 31 r",,Presumably churchwarden,
Bolland,,Robert,,d 1610,1593-1610,,Rector of Oswaldkirk,,CCEd Person ID: 113987,Bowland,(Rowlande in YAS 93; Bolland in CCEd),
Bolton,,Roger,,d ? 1595,1581-1595,,Vicar of Carleton in Craven,,CCEd Person ID: 114436,,,
Bolton,,William,,d ? 1614,,,Rector of York St George/St Mary Bishophill senior,,Register 31,,Perhaps CCEd Person ID: 114476 ,
Borrall,,Henry,,d 1580,1577,,? Churchwarden of Chatton,,"Register 31, fol. 32 r",,"Will of Henre Borrall of Horton, parish of Chatton, made and proved in 1580 (North East Inheritance database)",
Bossall,,John,,d ? 1617,1571-c 1602,,Rector of Thwing,,CCEd Person ID: 114506,,,
Botterell,,Thomas,,d 1620,1579-c 1592,,Vicar of Reighton,,CCEd Person ID: 114553,,"Curate of Speeton, 1592",
Bourne,,Osmond,,d ? 1642,1600-c 1642,,Rector of Treeton,,CCED Person ID: 119951 (as Bourn Osmundus); 114561 (as Osmund Bourn),Boorne,"Vicar of Marsworth, 1597",
Bowdon,,Lionel,,fl 1577,1577,,? Curate of Haydon,,CCEd Person ID: 114569,,No office given,
Bowdon,,Thomas,,fl 1577,1577,,Churchwarden of West Lilburn,,"Register 31, fol. 31 r",Bowden,,
Bowers,,Maurice,,d ? 1640,,,"of Cawood, gentleman",,Register 32,,,
Bowes,,Thomas,,d ? 1612,1599-c 1612,,Rector of Barton in Fabis,,CCEd Person ID: 114571,,"Vicar of Osbaldwick, 1592; Curate of York St Olave with St Giles, 1592.",
Bowes,,Robert,,fl 1577,1577,,Churchwarden of Staindrop,,"Register 31, fol. 33 r",,"Perhaps the Robert Bowes of Wakerfeld (parish uncertain, but listed under Staindrop) whose probate inventory was dated in 1607 (probate date 1606) (North East Inheritance database)",
Bowman,,John,,fl 1577,1577,,? Churchwarden of Lesbury,,"Register 31, fol. 31 v",,,
Bradley,,Thomas,,d 1625,1599-1625,,Vicar of Huntington,,CCEd Person ID: 114718,,,
Bradley,,Cuthbert,,d ? 1625,1583-1625,,Rector of Brougham,,CCEd Person ID: 61708,,"Curate of Whorlton, 1577",
Bradley,,Lionel,,d 1577,1577,,Churchwarden of Stanhope,,"Register 31, fol. 33 r",,"Will of Lyonell Braydlaye of Shittlehope, Stanhope (d by 31 Dec. 1577), made in 1577, proved in 1578 (North East Inheritance database)",
Braithwaite,,William,,c 1601,,,of Burnholme,,Register 31,Brathwaite,,
Brand,,Peter,,d ? 1624,1606-1624,,Vicar of Atwick,,CCEd Person ID: 22146,,,
Branson,,John,,fl 1577,1577,,Parishioner of Darlington,,"Register 31, fol. 33 r",,?John,
Brass,,William,,fl 1577,1577,,Churchwarden of Hart,,"Register 31, fol. 32 v",Brasse,,
Brawne,,Marke,,d ? 1638,,,"of Sutton, husbandman",,Register 32,,,
Bray,,Oliver,,d 1615,1614-1615,,Vicar of Worksop,,CCEd Person ID: 9675,,,
Brearcliffe,,William,,d ? 1644,1606-1644,,Vicar of North Cave,,Register 32,,,
Brereton,,Alice,,d ? 1578,,,relict of Urian Brereton of Barlowe,,Register 31,Breerton,,
Bricknell,,John,,d ? 1643,1636-c 1643,,Vicar of Osmotherley,,CCEd Person ID: 114881,,,
Briggs,,Martin,,d ? 1639,1612-1639,,Rector of Barmston,,CCEd Person ID: 114874,,,
Bright,,Timothy,,d 1615,1594-1615,,Rector of Barwick in Elmet,,CCEd Person ID: 114877,,"Rector of Methley, 1591-1615",
Brington,,Edward,,fl 1577,1577,,Churchwarden of Newburn,,"Register 31, fol. 29 r",,,
Briscoe,,Robert,,d ? 1636,,,"of Cawood, yeoman",,Register 32,,,
Briskin,,Thomas,,d ? 1624,1619-1624,,Vicar of Burstwick,,CCEd Person ID: 114883,,Burstwick chapelry of Skeckling parish (found as John in CCEd),
Brogden,,William,,d 1588,1556-1588,,Rector of Birkin,,CCEd Person ID: 114953,,"Vicar of Womersley, 1576",
Brogden,,William,,d ? 1619,1579-1619,,Rector of Burnsall,,CCEd Person ID: 61722,,,
Brooke,,John,,d 1615,1585-c 1615,,Vicar of Wressle,,CCEd Person ID: 114942,,,
Brooke,,Marmaduke,,d ? 1616,1610-1616,,Rector of Roos,,CCEd Person ID: 115016,,"Preacher, York diocese, 1604",
Brooke,,George,,d ? 1614,1580-c 1614,,Rector of Winestead,,CCEd Person ID: 35784,,,
Browell,,William,,fl 1577,1577,,Deacon at Whitburn,,CCEd Person ID: 114812,Brawell,,
Brown,,George,,fl 1577,1577,,Curate of Chester-le-Street,,CCEd Person ID: 115047,Browne,,
Brown,,George,,d ? 1603,1594-1603,,Vicar of Boynton,,CCEd Person ID: 115048,Browne,,
Brown,,Edmund,,d ? 1578,1572-1578,,Vicar of North Cave,,CCEd Person ID: 115053,Browne,,
Brown,,John,,d ? 1599,1566-1599,,Vicar of Willerby,,CCEd Person ID: 115058,Browne,,
Brown,,Thomas,,d ? 1636,1616-1636,,Vicar of Keighley,,CCEd Person ID: 115065,Browne,,
Brown,,Robert,,fl 1577,1577,,Curate of Wolsingham,,CCEd Person ID: 115087,Browne,,
Brown,,Robert,,fl 1577,1577,,of Chatton,,CCEd Person ID: 115088,Browne,"No office given, but bracketed with vicar, so perhaps curate?",
Brown,,John,,fl 1577,1577,,Churchwarden of Esh,,"Register 31, fol. 27 r",Browne,,
Brown,,Thomas,,fl 1577,1577,,Churchwarden of Long Benton,,"Register 31, fol. 29 r",Browne,,
Brown,,Simon,,fl 1577,1577,,Churchwarden of Netherwitton,,"Register 31, fol. 30 r",Browne,,
Brown,,John,,fl 1577,1577,,Churchwarden of Hartlepool,,"Register 31, fol. 32 v",Browne,,
Brown,,Thomas,,fl 1577,1577,,Churchwarden of Heighington,,"Register 31, fol. 33 r",Browne,,
Brown,,William,,fl 1577,1577,,Churchwarden of Auckland St Helen,,"Register 31, fol. 33 v",Browne,,
Bruen,,Robert,,d ? 1637,1620-1637,,Vicar of Markham Clinton,,CCEd Person ID: 114827,,,
Bubwith,,Richard,,d ? 1627,1591-c 1627,,Vicar of Rothwell,,CCEd Person ID: 115110,,,
Buck,,Simon,,d ? 1616,1571-1616,,Rector of Carlton in Lindrick,,CCEd Person ID: 38766,Bucke,"Rector of Ackworth, 1591",
Buck,,Henry,,fl 1577,1577,,Churchwarden of Mitford,,"Register 31, fol. 30 v",Bucke,,
Buck,,John,,fl 1577,1577,,Churchwarden of Sadberge,,"Register 31, fol. 33 v",Bucke,,
Buckell,,William,,fl 1577,1577,,Churchwarden of Stranton,,"Register 31, fol. 32 v",,,
Buckell,,Ralph,,fl 1577,1577,,Churchwarden of Elwick Hall,,"Register 31, fol. 32 v",Buckle,,
Buller,,Thomas,,d ? 1632,,,of Preston,,Register 32,,,
Bullmer,,George,,fl 1577,1577,,Churchwarden of Garrigill,,"Register 31, fol. 29 v",Bowmer,,
Bunnell,,Thomas,,d ? 1644,1624-c 1644,,Rector of Moor Monkton,,CCEd Person ID: 9393,Bonnell,,
Burdon,,Thomas,,fl 1577,1577,,Churchwarden of Bishopwearmouth,,"Register 31, fol. 27 r",,,
Burdon,,Richard,,fl 1577,1577,,Churchwarden of Bishopwearmouth,,"Register 31, fol. 27 r",,,
Burdon,,Rowland,,fl 1577,1577,,Churchwarden of Stockton upon Tees,,"Register 31, fol. 32 v",,,
Burgess,,Robert,,d ? 1593,1587-1593,,Vicar of Burstwick,,CCEd Person ID: 115150,Burgesse,Burstwick chapelry of Skeckling parish,
Burgoyne,,Francis,,d ? 1633,1617-? 1633,,"Canon of the 8th Prebend, Durham Cathedral",,Fasti,,"Rector of Carlton cum Willingham, 1587-1597; Rector of Spofforth, 1599-1633; Prebendary of Muskham South, Southwell Minster, 1590-1633 (CCEd Person ID: 68035)",
Burne,,John,,fl 1577,1577,,Churchwarden of Haughton Le Skerne,,"Register 31, fol. 33 v",,"Perhaps the John Bourne, yeoman, of Great Burdon, Haughton Le Skerne, whose will was made and proved in 1588 (North East Inheritance database)",
Burnopp,,John,,d ? c 1604,1577,,Churchwarden of Auckland St Helen,,"Register 31, fol. 33 v",Burnop,Perhaps the John Burnopp of Auckland St Helen whose will was made and proved in 1604 (North East Inheritance database),
Burnsall,,William,,d ? 1642,1626-1642,,Rector of Sproatley,,CCEd Person ID: 9947,,,
Burton,,Christopher,,fl 1577,1577,,Curate of Warkworth,,"Register 31, fol. 31 v",,,
Byers,,Ralph,,fl 1577,1577,,Churchwarden of Jarrow,,"Register 31, fol. 26 v",Byerse,,
Cadman,,John,,d 1613,1582-1613,,Vicar of Laxton,,CCEd Person ID: 115338,,,
Capes,,Marie,,d 1636,,,of Barnby in the Willows,,Register 32,Caipes,,
Capps,,John,,d ? 1639,,,of Cawood,,Register 32,,,
Carr,,John,,fl 1577,1577,,Curate of Lowick,,CCEd Person ID: 115428,Carre,,
Carr,,Robert,,fl 1577,1577,,Churchwarden of Witton le Wear,,"Register 31, fol. 33 v",Carre,,
Carr,,Anne,,d ? 1636,,,"of South Duffield, widow",,Register 32,,,
Carter,,Henry,,fl 1577,1577,,Churchwarden of Staindrop,,"Register 31, fol. 33 r",,,
Carter,,John,,d ? 1650,,,Rector of Handsworth,,Register 32,,,
Case,,William,,fl 1577,1577,,Curate of Auckland St Helen,,CCEd Person ID: 115447,,"North East Inheritance database gives the will of a Myles Casse, curate of Auckland St Andrew, clerk, made 1597, proved 1600",
Casson,,John,,fl 1577,1577,,Churchwarden of Bishopton,,"Register 31, fol. 32 v",,"Perhaps died either c 1582 or c 1597, as two individuals named John Cusson of Newbigging, Bishopton, left wills proved in those years (North East Inheritance database)",
